CodAuto;Identificação;Extensão;km inicial;km final;Tipo de Bueiro;Forma;Rodovia;MONTANTE;;;;;;;JUSANTE;;;;;;ESTADO DE CONSERVAÇÃO MONTANTE;;;;;;;;;;;ESTADO DE CONSERVAÇÃO JUSANTE;;;;;;;;;;Data;FOTOS;;FOTOS;
;;;;;;;;Dimensões (m);Lado;Dispositivo entrada;Material;Estado de Conservação;Coord. Montante (X);Coord. Montante (Y);Dimensões (m);Lado;Estrutura de saída;Material;Estado de Conservação;Coord. Jusante (X);Coord. Jusante (Y);OK;Limpeza;Assoreado;Afogado;Testa ou ala danificada;Tubulação danificada;Caixa danificada;Erosão;Fissuras/trincas;Tampa Danificada/Inexist.;OK;Limpeza;Assoreado;Afogado;Testa ou ala danificada;Tubulação danificada;Caixa danificada;Erosão;Fissuras/trincas;Tampa Danificada/Inexist.;;Montante;Montante pan.;Jusante;Jusante pan.
37;BU 101 BA 948+790 S 2;7,51;948+790;948+790;CX;TUBULAR;;ø0,2;SUL;CAIXA COLETORA;CONCRETO;Bom;-18,1127577756621;-39,8859581672611;ø0,6;SUL;CAIXA COLETORA;CONCRETO;Regular;-18,1128104473727;-39,8860026894789;X;;;;;;;;;;;X;;;;;;;;;8/10/2020;;;;
38;BU 101 BA 948+800 S 1;24,76;948+800;948+800;ALA;TUBULAR;;ø1;SUL;TESTA COM ALA;CONCRETO;Bom;-18,1131020999999;-39,8860117399499;ø1;NORTE;TESTA COM ALA;CONCRETO;Regular;-18,1131416;-39,8857812;X;;;;;;;;;;;X;;;;;;;;;26/9/2020;;;;
39;BU 101 BA 951+760 S 1;17,48;951+760;951+760;ALA;TUBULAR;;ø1;SUL;TESTA COM ALA;METALICO;Bom;-18,1373174624117;-39,8969829101062;ø1;NORTE;TESTA COM ALA;METALICO;Regular;-18,1374156;-39,8968537;X;;;;;;;;;;;X;;;;;;;;;26/9/2020;;;;
40;BU 101 BA 953+360 N 1;52,87;953+360;953+360;ALA;CELULAR;;2x2;NORTE;TESTA COM ALA;CONCRETO;Bom;-18,14842;-39,9060637;2x2;SUL;TESTA COM ALA;CONCRETO;Bom;-18,1484699127982;-39,9065612709727;X;;;;;;;;;;X;;;;;;;;;;26/9/2020;;;;
41;BU 101 BA 954+280 S 1;20,89;954+280;954+280;ALA;TUBULAR;;ø1;SUL;TESTA COM ALA;CONCRETO;Bom;-18,155076943649;-39,9107440218149;ø1;NORTE;TESTA COM ALA;CONCRETO;Regular;-18,155142;-39,9105585;X;;;;;;;;;;;X;;;;;;;;;26/9/2020;;;;
42;BU 101 BA 955+410 S 1;50,03;955+410;955+410;ALA;CELULAR;;2,5x1,7;SUL;TESTA COM ALA;CONCRETO;Regular;-18,1637643267094;-39,9159715933779;2,5x1,7;NORTE;TESTA COM ALA;CONCRETO;Bom;-18,1639369;-39,9155343;;X;;;;;;;;;X;;;;;;;;;;26/9/2020;;;;
43;BU 101 ES 000+000 C 1;28,17;000+000;000+000;CX;TUBULAR;;ø0,8;CANTEIRO CENTRAL;CAIXA COLETORA;CONCRETO;Bom;-20,78699053;-40,78344244;ø0,8;NORTE;CAIXA COLETORA;CONCRETO;Bom;-20,78721025;-40,78330758;X;;;;;;;;;;X;;;;;;;;;;8/9/2020;;;;
44;BU 101 ES 000+000 N 2;1,73;000+000;000+000;CX/ALA;TUBULAR;;ø0,8;NORTE;CAIXA COLETORA;CONCRETO;Bom;-20,78721025;-40,78330758;ø0,8;NORTE;TESTA COM ALA;CONCRETO;Bom;-20,78721986;-40,78332064;X;;;;;;;;;;X;;;;;;;;;;8/9/2020;;;;
45;BU 101 ES 000+130 N 2;14,65;000+130;000+130;CX/ALA;TUBULAR;;ø0,8;NORTE;CAIXA COLETORA;CONCRETO;Bom;-20,78781267;-40,78447858;ø0,8;NORTE;TESTA COM ALA;CONCRETO;Regular;-20,787936;-40,7844289;X;;;;;;;;;;;X;;;;;;;;;27/9/2020;;;;
46;BU 101 ES 000+170 N 1;19,75;000+170;000+180;CX;TUBULAR;;ø0,8;NORTE;CAIXA COLETORA;CONCRETO;Regular;-20,7878485;-40,78487019;ø0,8;NORTE;CAIXA COLETORA;CONCRETO;Regular;-20,7879973;-40,78497389;;X;;;;;;;;;;X;;;;;;;;;27/9/2020;;;;
